bank_ref,gl_doc,partner,text_similarity,reason_flag,f_text,Recall@3,Rank,in_ground_truth
PEND-BKK4C,ADJ-QOLD,-,0.9236,HIGH_SIMILARITY|STRONG_TEXT_MATCH|STRONG_SEMANTIC_MATCH,0.9236,0.0,3,False
PEND-EYZ7S,BANKFEE-6VX,-,0.925,HIGH_SIMILARITY|STRONG_TEXT_MATCH|STRONG_SEMANTIC_MATCH,0.925,0.0,1,False
PEND-EYZ7S,ADJ-PK9P,-,0.925,HIGH_SIMILARITY|STRONG_TEXT_MATCH|STRONG_SEMANTIC_MATCH,0.925,0.0,2,False
PEND-EYZ7S,ADJ-QOLD,-,0.925,HIGH_SIMILARITY|STRONG_TEXT_MATCH|STRONG_SEMANTIC_MATCH,0.925,0.0,3,False
PEND-FGCAQ,BANKFEE-6VX,-,0.9236,HIGH_SIMILARITY|STRONG_TEXT_MATCH|STRONG_SEMANTIC_MATCH,0.9236,0.0,1,False
PEND-FGCAQ,ADJ-PK9P,-,0.9236,HIGH_SIMILARITY|STRONG_TEXT_MATCH|STRONG_SEMANTIC_MATCH,0.9236,0.0,2,False
PEND-FGCAQ,ADJ-QOLD,-,0.9236,HIGH_SIMILARITY|STRONG_TEXT_MATCH|STRONG_SEMANTIC_MATCH,0.9236,0.0,3,False
USDTXN-4Q0B,RCPTFX-IC8B,Vo Hai W,0.9368,HIGH_SIMILARITY|STRONG_TEXT_MATCH|STRONG_SEMANTIC_MATCH,0.9368,0.0,1,False
USDTXN-4Q0B,RCPTFX-QM5K,Dinh Hai N,0.5574,STRONG_SEMANTIC_MATCH,0.5574,0.0,2,False
USDTXN-4Q0B,BANKFEE-6VX,-,0.4939,STRONG_SEMANTIC_MATCH,0.4939,0.0,3,False
USDTXN-7HV3,RCPTFX-D14V,Ly Bao P,0.9376,HIGH_SIMILARITY|STRONG_TEXT_MATCH|STRONG_SEMANTIC_MATCH,0.9376,0.0,1,False
USDTXN-7HV3,RCPT-XRGH,Tong Bao Y,0.5495,STRONG_SEMANTIC_MATCH,0.5495,0.0,2,False
USDTXN-7HV3,BANKFEE-6VX,-,0.4941,STRONG_SEMANTIC_MATCH,0.4941,0.0,3,False
USDTXN-EQBN,RCPTFX-QM5K,Dinh Hai N,0.944,HIGH_SIMILARITY|STRONG_TEXT_MATCH|STRONG_SEMANTIC_MATCH,0.944,0.0,1,False
USDTXN-EQBN,RCPTFX-IC8B,Vo Hai W,0.555,STRONG_SEMANTIC_MATCH,0.555,0.0,2,False
USDTXN-EQBN,BANKFEE-6VX,-,0.4884,STRONG_SEMANTIC_MATCH,0.4884,0.0,3,False
USDTXN-HAFE,BANKFEE-6VX,-,0.9263,HIGH_SIMILARITY|STRONG_TEXT_MATCH|STRONG_SEMANTIC_MATCH,0.9263,0.0,1,False
USDTXN-HAFE,ADJ-PK9P,-,0.9263,HIGH_SIMILARITY|STRONG_TEXT_MATCH|STRONG_SEMANTIC_MATCH,0.9263,0.0,2,False
USDTXN-HAFE,ADJ-QOLD,-,0.9263,HIGH_SIMILARITY|STRONG_TEXT_MATCH|STRONG_SEMANTIC_MATCH,0.9263,0.0,3,False
USDTXN-MPNS,RCPTFX-APRP,Ta Quynh V,0.9446,HIGH_SIMILARITY|STRONG_TEXT_MATCH|STRONG_SEMANTIC_MATCH,0.9446,0.0,1,False
USDTXN-MPNS,BANKFEE-6VX,-,0.4821,STRONG_SEMANTIC_MATCH,0.4821,0.0,2,False
USDTXN-MPNS,ADJ-PK9P,-,0.4821,STRONG_SEMANTIC_MATCH,0.4821,0.0,3,False
USDTXN-V8Z2,RCPTFX-8DAL,Ngo Duc K,0.9401,HIGH_SIMILARITY|STRONG_TEXT_MATCH|STRONG_SEMANTIC_MATCH,0.9401,0.0,1,False
USDTXN-V8Z2,BANKFEE-6VX,-,0.4834,STRONG_SEMANTIC_MATCH,0.4834,0.0,2,False
USDTXN-V8Z2,ADJ-PK9P,-,0.4834,STRONG_SEMANTIC_MATCH,0.4834,0.0,3,False
